LON;LAT;FECHA;CALLE;NUMERO;M2;DOLARES;PESOS;U_S_M2;Z_M2;BARRIOS;COMUNA
-58.454424494110341;-34.555042969719665;2012/12/17;11 DE SEPTIEMBRE DE 1888;2500;134.0;400000;;2985.1;0.0;BELGRANO;13
-58.456608925045906;-34.552425080528046;2012/12/07;11 DE SEPTIEMBRE DE 1888;2800;1140.0;830000;;728.1;0.0;BELGRANO;13
-58.461553230812775;-34.545658602385267;2012/12/10;11 DE SEPTIEMBRE DE 1888;3600;344.0;500000;;1453.5;0.0;NUÑEZ;13
-58.461911668333215;-34.585614217836209;2012/12/17;14 DE JULIO;700;456.0;540000;;1184.2;0.0;VILLA ORTUZAR;15
-58.462123055197154;-34.582933856749037;2012/12/13;14 DE JULIO;900;216.0;325000;;1504.6;0.0;VILLA ORTUZAR;15
-58.410990825894764;-34.615303934293351;2012/12/10;24 DE NOVIEMBRE;400;312.0;0;2880000;1887.7;9230.8;BALVANERA;3
-58.410990825894764;-34.615303934293351;2012/12/04;24 DE NOVIEMBRE;400;612.0;320000;;522.9;0.0;BALVANERA;3
-58.410826348952725;-34.619021355036779;2012/12/10;24 DE NOVIEMBRE;700;156.0;0;3000000;3932.7;19230.8;BALVANERA;3
-58.418122838960933;-34.659105625114336;2012/12/14;27 DE FEBRERO;5100;4000.0;1800000;;450.0;0.0;NUEVA POMPEYA;4
-58.443065175210165;-34.569420545990873;2012/12/17;3 DE FEBRERO;1000;88.0;0;2100000;4880.1;23863.6;PALERMO;14
-58.445532064090649;-34.567161062060237;2012/12/11;3 DE FEBRERO;1300;588.0;0;3900000;1356.4;6632.7;PALERMO;14
-58.503614214274812;-34.639586452121762;2012/12/17;ACASSUSO;5200;504.0;400000;;793.7;0.0;VILLA LURO;10
-58.44393107334929;-34.600544619659161;2012/12/13;ACEVEDO;100;236.0;750000;;3178.0;0.0;VILLA CRESPO;15
-58.438476499942979;-34.596526631644075;2012/12/13;ACEVEDO;600;539.0;690000;;1280.1;0.0;VILLA CRESPO;15
-58.436301442767061;-34.595135512678894;2012/12/13;ACEVEDO;800;130.0;390000;;3000.0;0.0;VILLA CRESPO;15
-58.435244622588833;-34.594460750186713;2012/12/14;ACEVEDO;900;236.0;750000;;3178.0;0.0;VILLA CRESPO;15
-58.43309029927439;-34.593085089720802;2012/12/14;ACEVEDO;1100;150.0;500000;;3333.3;0.0;VILLA CRESPO;15
-58.480019705278735;-34.569186378980163;2012/12/13;ACHA, MARIANO, GRAL.;2600;215.0;250000;;1162.8;0.0;VILLA URQUIZA;12
-58.480865938828167;-34.568232501691639;2012/12/13;ACHA, MARIANO, Gral.;2700;116.0;195000;;1681.0;0.0;VILLA URQUIZA;12
-58.499709462203924;-34.57479947577918;2012/12/17;ACHEGA;3000;141.0;250000;;1773.0;0.0;VILLA URQUIZA;12
-58.50432969588406;-34.569060129164036;2012/12/13;ACHEGA;3500;432.0;350000;;810.2;0.0;VILLA URQUIZA;12
