X;Y;CALLE;NUMERO;M2;DOLARES;U_S_M2;FOT;COTIZ;BARRIO;COMUNA;DIRECCION NORMALIZADA;CODIGO_POSTAL;CODIGO_POSTAL_ARGENTINO
-34.60146075753319;-58.47023563839559;12 DE OCTUBRE;1800;188;230000;1223.4;5;14.5;PATERNAL;COMUNA 15;12 DE OCTUBRE 1800;1416;C1416FID
-34.58870077446615;-58.46506341069311;14 DE JULIO;400;400;280000;700;2;14.5;VILLA ORTUZAR;COMUNA 15;14 DE JULIO 400;1427;C1427CJH
-34.581904705786414;-58.46195935382173;14 DE JULIO;1000;370;450000;1216.2;1.6;14.5;VILLA ORTUZAR;COMUNA 15;14 DE JULIO 1000;1427;C1427CJT
-34.615241457902385;-58.41111544884485;24 DE NOVIEMBRE;400;301;264000;877.1;0;14.5;BALVANERA;COMUNA 3;24 DE NOVIEMBRE 400;1170;C1170AAH
-34.61652662075115;-58.41097273872906;24 DE NOVIEMBRE;500;448;350000;781.3;0;14.5;BALVANERA;COMUNA 3;24 DE NOVIEMBRE 500;1170;C1170AAJ
-34.62466955784129;-58.41032335735347;24 DE NOVIEMBRE;1200;174;400000;2298.9;3.5;14.5;SAN CRISTOBAL;COMUNA 3;24 DE NOVIEMBRE 1200;1224;C1224AAN
-34.646719440508704;-58.51166082664675;ACASSUSO;6200;150;260000;1733.3;3.5;14.5;LINIERS;COMUNA 9;ACASSUSO 6200;1408;C1408FDV
-34.59992983917255;-58.44304459434058;ACEVEDO;200;180;350000;1944.4;3.5;14.5;VILLA CRESPO;COMUNA 15;ACEVEDO 200;1414;C1414DJD
-34.59662854135182;-58.43847946334054;ACEVEDO;600;337;700000;2077.2;1.6;14.5;VILLA CRESPO;COMUNA 15;ACEVEDO 600;1414;C1414DJL
-34.59594089144794;-58.43740030594061;ACEVEDO;700;187;450000;2406.4;1.5;14.5;VILLA CRESPO;COMUNA 15;ACEVEDO 700;1414;C1414DJN
-34.594561522756216;-58.43524616768118;ACEVEDO;900;161;320000;1987.6;0;14.5;VILLA CRESPO;COMUNA 15;ACEVEDO 900;1414;C1414DJR
-34.594561522756216;-58.43524616768118;ACEVEDO;900;241;380000;1576.8;1.6;14.5;VILLA CRESPO;COMUNA 15;ACEVEDO 900;1414;C1414DJR
-34.59318772657841;-58.43309024213149;ACEVEDO;1100;137;330000;2408.8;1.6;14.5;VILLA CRESPO;COMUNA 15;ACEVEDO 1100;1414;C1414DJV
-34.56917549146433;-58.479880642427645;ACHA, MARIANO, GRAL.;2600;370;360000;973;1.6;14.5;VILLA URQUIZA;COMUNA 12;ACHA, MARIANO, GRAL. 2600;1430;C1430DUZ
-34.55079146436145;-58.4942300884052;ACHA, MARIANO, GRAL.;4700;178;220000;1236;1.6;14.5;SAAVEDRA;COMUNA 12;ACHA, MARIANO, GRAL. 4700;1430;C1430DWP
-34.55079146436145;-58.4942300884052;ACHA, MARIANO, GRAL.;4700;320;315000;984.4;1.6;14.5;SAAVEDRA;COMUNA 12;ACHA, MARIANO, GRAL. 4700;1430;C1430DWP
;;ACHEGA;2900;159;310000;1949.7;3;14.5;;;;;
-34.66570303348299;-58.44219961061221;ACOSTA, MARIANO;3600;782;320000;409.2;0;14.5;VILLA SOLDATI;COMUNA 8;ACOSTA, MARIANO 3600;1437;C1437CED
-34.61608618866643;-58.43765954461164;ACOYTE AV.;200;339;1200000;3539.8;4;14.5;CABALLITO;COMUNA 6;ACOYTE AV. 200;1405;C1405BFO
-34.60743055664917;-58.42297706300086;ACUÑA DE FIGUEROA, FRANCISCO;300;250;350000;1400;0;14.5;ALMAGRO;COMUNA 5;ACUÑA DE FIGUEROA, FRANCISCO 300;1180;C1180AAD
-34.60608889487354;-58.422862673357024;ACUÑA DE FIGUEROA, FRANCISCO;400;259;495000;1911.2;3;14.5;ALMAGRO;COMUNA 5;ACUÑA DE FIGUEROA, FRANCISCO 400;1180;C1180AAF
-34.60608889487354;-58.422862673357024;ACUÑA DE FIGUEROA, FRANCISCO;400;552;850000;1539.9;3;14.5;ALMAGRO;COMUNA 5;ACUÑA DE FIGUEROA, FRANCISCO 400;1180;C1180AAF
-34.60065169344389;-58.422279404826604;ACUÑA DE FIGUEROA, FRANCISCO;900;191;400000;2094.2;2.8;14.5;ALMAGRO;COMUNA 5;ACUÑA DE FIGUEROA, FRANCISCO 900;1180;C1180AAP
-34.64120844838324;-58.415250954714644;AGACES;200;332;420000;1265.1;0;14.5;NUEVA POMPEYA;COMUNA 4;AGACES 200;1437;C1437EAD
;;AGRELO;3200;378;390000;1031.7;3;14.5;;;;;
-34.570421958148415;-58.49383928257792;AGUAS BUENAS;3100;153;210000;1372.5;1.5;14.5;VILLA URQUIZA;COMUNA 12;AGUAS BUENAS 3100;1431;C1431DZB
-34.60644633964287;-58.412473692324824;AGUERO;300;337;450000;1335.3;0;14.5;BALVANERA;COMUNA 3;AGUERO 300;1171;C1171ABB
-34.60415957228329;-58.41182195726428;AGUERO;500;270;620000;2296.3;4;14.5;BALVANERA;COMUNA 3;AGUERO 500;1171;C1171ABF
-34.596073353974084;-58.4372131333464;AGUIRRE;700;123;400000;3252;0;14.5;VILLA CRESPO;COMUNA 15;AGUIRRE 700;1414;C1414ASN
;;ALBARRACIN DE SARMIENTO, P;1700;394;430000;1091.4;0;14.5;;;;;
-34.626009650475396;-58.448979863652674;ALBERDI, JUAN BAUTISTA AV.;1500;532;1100000;2067.7;0;14.5;CABALLITO;COMUNA 6;ALBERDI, JUAN BAUTISTA AV. 1500;1406;C1406GRQ
-34.628601329854305;-58.45385629674908;ALBERDI, JUAN BAUTISTA AV.;1800;2000;5200000;2600;5.2;14.5;FLORES;COMUNA 7;ALBERDI, JUAN BAUTISTA AV. 1800;1406;C1406GRT
-34.62965380827006;-58.4564173042529;ALBERDI, JUAN BAUTISTA AV.;2000;216;680000;3148.1;5.2;14.5;FLORES;COMUNA 7;ALBERDI, JUAN BAUTISTA AV. 2000;1406;C1406GRV
-34.62965380827006;-58.4564173042529;ALBERDI, JUAN BAUTISTA AV.;2000;244;900000;3688.5;5.2;14.5;FLORES;COMUNA 7;ALBERDI, JUAN BAUTISTA AV. 2000;1406;C1406GRV
-34.632927060572044;-58.46702966603597;ALBERDI, JUAN BAUTISTA AV.;2800;159;235000;1478;5;14.5;FLORES;COMUNA 7;ALBERDI, JUAN BAUTISTA AV. 2800;1406;C1406GSQ
-34.63490108886644;-58.473207088846365;ALBERDI, JUAN BAUTISTA AV.;3300;1700;700000;411.8;0;14.5;FLORESTA;COMUNA 10;ALBERDI, JUAN BAUTISTA AV. 3300;1406;C1406GSV
-34.639939360496534;-58.484731887634815;ALBERDI, JUAN BAUTISTA AV.;4200;471;590000;1252.7;0;14.5;PARQUE AVELLANEDA;COMUNA 9;ALBERDI, JUAN BAUTISTA AV. 4200;1407;C1407GZV
-34.64049879503809;-58.48591772386711;ALBERDI, JUAN BAUTISTA AV.;4300;919;850000;924.9;0;14.5;PARQUE AVELLANEDA;COMUNA 9;ALBERDI, JUAN BAUTISTA AV. 4300;1407;C1407GZW
-34.641323792527864;-58.48765449267195;ALBERDI, JUAN BAUTISTA AV.;4400;227;400000;1762.1;0;14.5;PARQUE AVELLANEDA;COMUNA 9;ALBERDI, JUAN BAUTISTA AV. 4400;1407;C1407GZX
-34.6441140110901;-58.4935159258444;ALBERDI, JUAN BAUTISTA AV.;4800;1300;550000;423.1;0;14.5;PARQUE AVELLANEDA;COMUNA 9;ALBERDI, JUAN BAUTISTA AV. 4800;1407;C1407HAO
-34.647013968146176;-58.49739860584295;ALBERDI, JUAN BAUTISTA AV.;5200;644;600000;931.7;0;14.5;MATADEROS;COMUNA 9;ALBERDI, JUAN BAUTISTA AV. 5200;1440;C1440AAP
-34.656590361629824;-58.5084588608355;ALBERDI, JUAN BAUTISTA AV.;6600;447;675000;1510.1;0;14.5;MATADEROS;COMUNA 9;ALBERDI, JUAN BAUTISTA AV. 6600;1440;C1440ABQ
-34.61208032745448;-58.401513305087214;ALBERTI;200;193;800000;4145.1;3.5;14.5;BALVANERA;COMUNA 3;ALBERTI 200;1082;C1082AAD
-34.61316613646821;-58.401409215050464;ALBERTI;300;364;480000;1318.7;0;14.5;BALVANERA;COMUNA 3;ALBERTI 300;1082;C1082AAF
-34.61856625115285;-58.40093677808997;ALBERTI;800;155;220000;1419.4;0;14.5;BALVANERA;COMUNA 3;ALBERTI 800;1223;C1223AAF
-34.61963280073392;-58.40083681204691;ALBERTI;900;203;300000;1477.8;3.5;14.5;SAN CRISTOBAL;COMUNA 3;ALBERTI 900;1223;C1223AAH
;;ALCARAZ;4200;230;279000;1213;3.5;14.5;;;;;
