X;Y;FECHA;DIRECCION;DIRECCION_NORMALIZADA;M2TOTAL;PRECIOARS;PRECIOARSM;PRECIOUSD;PRECIOUSDM;CAMBIO;AMBIENTES;DORMITORIO;BAÑOS;URL;BARRIO;COMUNA;CODIGO_POSTAL;CODIGO_POSTAL_ARGENTINO
-58.44695280356209;-34.590992327179315;09/02/2018;DORREGO 900;DORREGO AV. 900;22;1061500;50000;55000;2500;20.00;0;0;1;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43073981.HTML;CHACARITA;COMUNA 15;1414;C1414CKQ
-58.4557761787048;-34.58331037705459;13/02/2018;AV. FOREST 800;FOREST AV. 800;70;2123000;31420;110000;1571;20.00;1;0;1;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43079739.HTML;CHACARITA;COMUNA 15;1427;C1427CER
-58.450811271908194;-34.58045592948476;21/02/2018;AV. FEDERICO LACROZE 3500;LACROZE, FEDERICO AV. 3500;77;2605500;35060;135000;1753;20.00;0;0;2;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43096230.HTML;COLEGIALES;COMUNA 13;1426;C1426CQU
-58.44415760295975;-34.59057408263611;27/02/2018;RAMIREZ DE VELAZCO 1400;RAMIREZ DE VELASCO, JUAN 1400;83;3088000;38540;160000;1927;20.00;0;0;1;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43110036.HTML;CHACARITA;COMUNA 15;1414;C1414ARB
-58.44827206932627;-34.58143075297631;27/02/2018;JORGE NEWBERY 3400;NEWBERY, JORGE 3400;140;7720000;57140;400000;2857;20.00;0;0;3;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43115038.HTML;COLEGIALES;COMUNA 13;1426;C1426CYL
-58.458303386577015;-34.604509508718735;20/02/2018;JUAN B JUSTO  4000;JUSTO, JUAN B. AV. 4000;105;4825000;50000;250000;2500;20.00;0;0;2;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43093873.HTML;VILLA CRESPO;COMUNA 15;1416;C1416DJT
-58.44752450770526;-34.5971099310041;01/02/2018;JUAN B JUSTO 2900;JUSTO, JUAN B. AV. 2900;50;2895000;57900;150000;3000;0.00;0;0;1;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43051378.HTML;VILLA CRESPO;COMUNA 15;1414;C1414CXR
-58.44430219431069;-34.59488452041215;06/02/2018;CORRIENTES 5800;CORRIENTES AV. 5800;40;2991500;77500;155000;3875;20.00;0;0;1;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43066788.HTML;VILLA CRESPO;COMUNA 15;1414;C1414AJX
-58.43722598969622;-34.604660301891755;08/02/2018;ANGEL GALLARDO 400;GALLARDO, ANGEL AV. 400;40;2991500;77500;155000;3875;20.00;0;0;1;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43066831.HTML;CABALLITO;COMUNA 06;1405;C1405DJQ
-58.428088520133905;-34.595621199168555;08/02/2018;CORDOBA  AVDA. 4400;CORDOBA AV. 4400;120;13317000;115000;690000;5750;20.00;0;0;1;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43071458.HTML;VILLA CRESPO;COMUNA 15;1414;C1414BAO
-58.43973905351083;-34.594722729532904;08/02/2018;SERRANO 725;SERRANO 725;30;3088000;106660;160000;5333;20.00;0;0;1;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43072526.HTML;VILLA CRESPO;COMUNA 15;1414;C1414DEO
-58.438018523513705;-34.60507750678132;09/02/2018;ANEL GALLARDO 500;GALLARDO, ANGEL AV. 500;40;3377500;87500;175000;4375;20.00;0;0;1;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43073520.HTML;CABALLITO;COMUNA 06;1405;C1405DJR
-58.4337322642249;-34.60293995696207;09/02/2018;ANGEL GALLARDO 100;GALLARDO, ANGEL AV. 100;40;3377500;87500;175000;4375;20.00;0;0;1;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43073537.HTML;CABALLITO;COMUNA 06;1405;C1405DJN
-58.43297610523409;-34.59875930451771;13/02/2018;LOYOLA 200;LOYOLA 200;36;1447500;41660;75000;2083;20.00;0;0;1;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43079362.HTML;VILLA CRESPO;COMUNA 15;1414;C1414AUD
-58.43568948977862;-34.59778975977632;16/02/2018;SCALABRINI ORTIZ RAUL 600;SCALABRINI ORTIZ, RAUL AV. 600;373;9650000;26800;500000;1340;20.00;0;0;2;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43085934.HTML;VILLA CRESPO;COMUNA 15;1414;C1414DNS
;;23/02/2018;GURRUCHAGA;;150;21444442;148140;1111111;7407;20.00;0;0;1;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43088987.HTML;;;;
-58.43584310970085;-34.5993665527547;21/02/2018;VELASCO 400;RAMIREZ DE VELASCO, JUAN 400;250;5597000;23200;290000;1160;20.00;0;0;0;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43096226.HTML;VILLA CRESPO;COMUNA 15;1414;C1414AQH
-58.43973905351083;-34.594722729532904;21/02/2018;SERRANO 725;SERRANO 725;29;3088000;110340;160000;5517;20.00;0;0;1;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43098265.HTML;VILLA CRESPO;COMUNA 15;1414;C1414DEO
-58.44385177498066;-34.60225784496055;26/02/2018;LUIS VIALE 100;VIALE, LUIS 100;16;897450;58120;46500;2906;20.00;0;0;1;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43107826.HTML;VILLA CRESPO;COMUNA 15;1414;C1414ECB
-58.4386130362481;-34.598195090282374;26/02/2018;MALABIA 500;MALABIA 500;375;18721000;54640;970000;2732;20.00;0;0;5;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43108152.HTML;VILLA CRESPO;COMUNA 15;1414;C1414DLJ
-58.451739093936965;-34.600035438504385;27/02/2018;JUAN B. JUSTO  3300;JUSTO, JUAN B. AV. 3300;70;7334000;108560;380000;5428;20.00;0;0;2;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43113432.HTML;VILLA CRESPO;COMUNA 15;1414;C1414CXV
-58.48895351745063;-34.602750362454415;07/02/2018;NAZCA 2900;NAZCA AV. 2900;282;9379800;34460;486000;1723;20.00;0;0;1;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43062462.HTML;VILLA DEL PARQUE;COMUNA 11;1417;C1417CUR
-58.49343829509583;-34.60383406503136;09/02/2018;CUENCA Y NOGOYA;CUENCA Y NOGOYA;40;3377500;87500;175000;4375;20.00;0;0;1;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43073625.HTML;VILLA DEL PARQUE;COMUNA 11;;
-58.424447202216236;-34.610137233154326;01/02/2018;BARTOLOME MITRE 4100;MITRE, BARTOLOME 4100;235;30880000;45278;1600000;2346;0.00;0;0;0;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43040179.HTML;ALMAGRO;COMUNA 05;1201;C1201AAZ
-58.416445753075024;-34.62087459514739;01/02/2018;AV BOEDO 700;BOEDO AV. 700;503;9592100;19068;497000;988;0.00;0;0;4;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43051969.HTML;ALMAGRO;COMUNA 05;1218;C1218AAP
-58.41906120191299;-34.600404118057845;06/02/2018;JERONIMO SALGUERO 835;SALGUERO, JERONIMO 835;31;2299826;76860;119162;3843;20.00;0;0;1;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43065855.HTML;ALMAGRO;COMUNA 05;1177;C1177AEO
-58.42479776844905;-34.613218996542756;06/02/2018;RIVADAVIA 4200;RIVADAVIA AV. 4200;40;2991500;77500;155000;3875;20.00;0;0;1;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43066665.HTML;ALMAGRO;COMUNA 05;1205;C1205AAO
-58.42550038222974;-34.60280369607025;06/02/2018;CORRIENTES 4300;CORRIENTES AV. 4300;40;2991500;77500;155000;3875;20.00;0;0;1;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43066803.HTML;ALMAGRO;COMUNA 05;1195;C1195AAO
-58.42034169450558;-34.59891438983772;08/02/2018;MEDRANO Y LAVALLE;MEDRANO AV. Y LAVALLE;40;2991500;77500;155000;3875;20.00;0;0;1;HTTP://WWW.ZONAPROP.COM.AR/PROPIEDADES/A-43069031.HTML;ALMAGRO;COMUNA 05;;
